  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    1.516  -12.2282     0.022     0.016     0.628
    1.480  -12.2292     0.022     0.016     0.628
    1.445  -12.2321     0.022     0.016     0.628
    1.410  -12.2355     0.022     0.016     0.628
    1.375  -12.2380     0.022     0.016     0.628
    1.340  -12.2381     0.022     0.016     0.628
    1.305  -12.2349     0.022     0.016     0.628
    1.270  -12.2278     0.022     0.018     0.628
    1.235  -12.2172     0.022     0.016     0.632
    1.200  -12.2040     0.022     0.016     0.632
    1.165  -12.1897     0.022     0.016     0.632
    1.130  -12.1765     0.022     0.014     0.632
    1.095  -12.1670     0.022     0.016     0.632
    1.060  -12.1636     0.024     0.016     0.632
    1.025  -12.1677     0.026     0.014     0.628
    0.990  -12.1782     0.028     0.014     0.628
    0.955  -12.2032     0.022     0.020     0.624
    0.920  -12.2308     0.022     0.020     0.620
    0.885  -12.2561     0.022     0.020     0.620
    0.850  -12.2788     0.020     0.020     0.616
    0.850  -12.2788     0.020     0.020     0.616
    0.838  -12.2858     0.020     0.020     0.616
    0.826  -12.2924     0.020     0.020     0.616
    0.815  -12.2987     0.020     0.020     0.616
    0.803  -12.3046     0.020     0.022     0.616
    0.791  -12.3102     0.020     0.022     0.616
    0.780  -12.3154     0.020     0.022     0.612
    0.768  -12.3202     0.020     0.022     0.612
    0.756  -12.3247     0.020     0.022     0.612
    0.745  -12.3289     0.020     0.022     0.612
    0.733  -12.3326     0.020     0.022     0.612
    0.721  -12.3360     0.020     0.022     0.612
    0.710  -12.3389     0.020     0.022     0.612
    0.698  -12.3415     0.020     0.022     0.612
    0.686  -12.3437     0.020     0.022     0.612
    0.674  -12.3455     0.020     0.022     0.612
    0.663  -12.3469     0.020     0.022     0.612
    0.651  -12.3479     0.020     0.022     0.612
    0.639  -12.3485     0.020     0.022     0.612
    0.628  -12.3487     0.020     0.022     0.612
    0.628  -12.3487     0.020     0.022     0.612
    0.595  -12.3480     0.020     0.022     0.612
