  #K-Path    Energy        Zn        In         S
# NKPTS & NBANDS: 120  76
# Band-Index    1
    0.704  -14.2215     0.002     0.842     0.086
    0.693  -14.2261     0.002     0.840     0.086
    0.682  -14.2305     0.002     0.840     0.086
    0.671  -14.2346     0.002     0.838     0.088
    0.660  -14.2383     0.002     0.836     0.088
    0.649  -14.2416     0.002     0.834     0.088
    0.637  -14.2446     0.002     0.834     0.088
    0.626  -14.2469     0.002     0.832     0.090
    0.615  -14.2487     0.002     0.832     0.090
    0.604  -14.2497     0.002     0.832     0.090
    0.593  -14.2499     0.002     0.832     0.092
    0.593  -14.2499     0.002     0.832     0.092
    0.562  -14.2299     0.002     0.836     0.088
    0.531  -14.2090     0.002     0.844     0.080
    0.500  -14.1877     0.002     0.852     0.080
    0.468  -14.1662     0.002     0.860     0.072
    0.437  -14.1447     0.002     0.868     0.064
    0.406  -14.1235     0.002     0.876     0.064
    0.375  -14.1028     0.002     0.884     0.056
    0.343  -14.0829     0.002     0.896     0.048
    0.312  -14.0642     0.000     0.904     0.040
    0.281  -14.0469     0.000     0.912     0.040
    0.250  -14.0313     0.000     0.920     0.032
    0.219  -14.0180     0.000     0.928     0.032
    0.187  -14.0078     0.000     0.924     0.032
    0.156  -14.0039     0.000     0.908     0.032
    0.125  -14.0056     0.000     0.900     0.040
    0.094  -14.0082     0.000     0.896     0.040
    0.062  -14.0105     0.000     0.892     0.040
    0.031  -14.0119     0.000     0.892     0.040
    0.000  -14.0124     0.000     0.892     0.040
 
# Band-Index    5
    0.000  -13.9705     0.000     0.964     0.008
    0.031  -13.9713     0.000     0.964     0.008
    0.062  -13.9737     0.000     0.964     0.008
    0.094  -13.9778     0.000     0.960     0.008
    0.125  -13.9832     0.000     0.956     0.008
    0.156  -13.9887     0.000     0.948     0.016
    0.187  -13.9898     0.000     0.928     0.024
    0.219  -13.9858     0.000     0.924     0.024
    0.250  -13.9801     0.000     0.924     0.024
    0.281  -13.9736     0.000     0.928     0.024
    0.312  -13.9739     0.000     0.928     0.032
    0.343  -13.9886     0.000     0.922     0.036
    0.375  -14.0034     0.000     0.916     0.040
    0.406  -14.0180     0.000     0.910     0.044
    0.437  -14.0317     0.000     0.904     0.048
    0.468  -14.0443     0.000     0.898     0.052
    0.500  -14.0551     0.000     0.894     0.052
    0.531  -14.0634     0.000     0.890     0.056
    0.562  -14.0686     0.000     0.888     0.056
    0.593  -14.0704     0.000     0.890     0.056
    0.593  -14.0704     0.000     0.890     0.056
    0.604  -14.0707     0.000     0.888     0.056
    0.615  -14.0714     0.000     0.888     0.056
    0.626  -14.0726     0.000     0.888     0.056
    0.637  -14.0743     0.000     0.886     0.056
    0.649  -14.0764     0.000     0.888     0.056
    0.660  -14.0789     0.000     0.886     0.058
    0.671  -14.0819     0.000     0.886     0.060
    0.682  -14.0853     0.000     0.884     0.060
    0.693  -14.0890     0.000     0.884     0.060
    0.704  -14.0931     0.000     0.882     0.060
    0.715  -14.0976     0.000     0.880     0.060
    0.726  -14.1024     0.000     0.880     0.064
    0.737  -14.1075     0.000     0.878     0.064
    0.748  -14.1129     0.000     0.876     0.064
    0.759  -14.1185     0.000     0.874     0.064
    0.770  -14.1244     0.000     0.874     0.068
    0.781  -14.1305     0.000     0.870     0.068
    0.792  -14.1369     0.000     0.868     0.068
    0.803  -14.1434     0.000     0.868     0.070
    0.803  -14.1434     0.000     0.868     0.070
    0.836  -14.1530     0.002     0.864     0.072
    0.869  -14.1335     0.002     0.870     0.068
    0.902  -14.1133     0.000     0.876     0.064
    0.936  -14.0927     0.000     0.884     0.060
