#k-distance eigenvalue[eV]
0.20826455 -0.23570000
0.24991748 -0.33130000
0.29157039 -0.43850000
0.33322329 -0.55490000
0.37487622 -0.67830000
0.41652913 -0.80730000
0.45818204 -0.93880000
0.49983494 -1.07180000
0.54148787 -1.20420000
0.58314078 -1.33490000
0.62479368 -1.46230000
0.66644661 -1.58520000
0.70809952 -1.70370000
0.74975242 -1.81430000
0.79140533 -1.91750000
0.83305826 -2.01230000
0.87471117 -2.09780000
0.91636407 -2.17350000
0.95801700 -2.23900000
0.99966991 -2.29250000
1.04132281 -2.33500000
1.08297572 -2.36570000
1.12462865 -2.38410000
1.16628155 -2.39030000
1.16628155 -2.39030000
1.21209742 -2.38450000
1.25791329 -2.36730000
1.30372915 -2.33820000
1.34954502 -2.29750000
1.39536089 -2.24640000
1.44117676 -2.18520000
1.48699261 -2.11440000
1.53280848 -2.03470000
1.57862435 -1.94710000
1.57862435 -1.94710000
1.62128050 -1.85880000
1.66393666 -1.76560000
1.70659281 -1.66800000
1.74924896 -1.56680000
1.79190510 -1.46300000
1.83456125 -1.35750000
